host response time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identify_verified,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,logP,minimum_minimum_nights,has_availability_no,availability_30,number_of_reviews,number_of_reviews_ltm,Year,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month
1,1.00,1.00,2,1,4,2,1,1,1,21,1200,3.08,1,1,30,41,10,2023,4.59,4.74,4.79,4.79,4.77,4.41,4.55,1,0.45
1,1.00,1.00,2,1,4,3,1,1,1,42,1314,3.12,5,1,30,2,2,2023,5,5,5,5,5,5,5,2,0.71
1,1.00,0.30,1,1,1,3,1,1,1,23,870,2.94,1,1,30,18,0,2020,4.83,4.83,4.78,4.72,4.83,4.83,4.67,2,0.2
1,1.00,1.00,2,2,4,2,2,1,1,31,1700,3.23,30,1,30,11,2,2023,4.67,4.67,4.78,4.78,5,5,4.56,1,0.14
4,0.33,1.00,2,1,1,2,1,1,1,26,99999,5.00,1,1,30,9,0,2021,4.56,4.67,4.22,4.44,4.67,4.56,4.44,2,0.17
1,1.00,0.99,1,2,4,4,0,1,4,18,1200,3.08,1,1,30,5,1,2022,4.6,4.6,4.6,4.6,4.8,4.2,5,1,0.07
1,1.00,0.75,2,1,1,3,1,1,1,36,1550,3.19,1,1,30,82,0,2020,4.59,4.79,4.4,4.74,4.74,4.64,4.6,2,1.14
1,1.00,0.95,1,1,1,3,1,1,2,33,2604,3.42,28,1,30,14,12,2023,4.86,4.71,4.86,4.79,4.79,4.86,4.86,1,0.23
3,1.00,0.75,2,1,1,2,1,1,1,28,1252,3.10,28,1,30,32,2,2023,4.66,4.78,4.81,4.72,4.75,4.94,4.72,2,0.47
1,1.00,0.99,2,1,1,4,2,1,2,31,1655,3.22,1,1,30,21,10,2023,4.86,4.71,4.62,4.71,4.86,4.86,4.71,1,0.36
1,1.00,0.98,1,1,1,3,0,1,2,36,1439,3.16,21,1,30,74,0,2020,4.82,4.85,4.74,4.88,4.84,4.78,4.71,2,1.17
2,1.00,0.74,1,1,1,5,2,2,3,25,1400,3.15,15,1,30,18,1,2022,4.94,4.94,4.83,4.78,4.89,4.67,4.89,2,0.32
1,1.00,0.98,1,1,1,3,2,1,2,37,1165,3.07,28,1,30,40,1,2022,4.65,4.78,4.53,4.75,4.75,4.63,4.53,1,0.68
1,1.00,0.78,1,1,1,2,1,1,2,45,1755,3.24,198,1,30,1,1,2022,5,5,5,5,5,5,5,2,0.11
2,0.80,0.95,2,1,1,4,2,2,2,7,2999,3.48,2,1,30,6,2,2023,3.67,4.17,3.83,3.67,4.17,3.5,3.83,1,0.1
2,0.80,0.95,2,1,1,4,2,2,2,6,3399,3.53,2,1,30,29,2,2023,4.52,4.69,4.41,4.72,4.34,4.17,4.66,1,0.51
1,1.00,0.30,1,1,1,3,1,1,1,25,2299,3.36,2,1,30,29,0,2022,4.86,4.93,4.9,4.86,4.97,4.93,4.83,2,0.53
1,1.00,0.30,1,1,1,3,1,1,1,21,2299,3.36,2,1,30,31,0,2021,4.81,4.84,4.71,4.84,4.87,4.9,4.68,2,0.56
1,0.95,0.39,1,1,1,3,1,1,1,23,1585,3.20,1,1,30,17,9,2023,4.88,4.94,4.88,4.94,5,4.82,4.65,2,0.35
1,0.95,0.39,1,1,1,2,1,1,1,20,2242,3.35,1,1,30,29,6,2023,4.97,4.97,4.93,4.79,4.9,4.86,4.79,2,0.54
1,1.00,0.46,1,1,1,3,1,1,1,16,870,2.94,1,1,30,8,0,2020,5,5,4.75,5,5,4.88,4.75,2,0.15
1,1.00,0.46,1,1,1,3,1,1,1,23,999,3.00,2,1,30,9,0,2020,5,5,4.78,5,5,5,4.22,2,0.2
1,1.00,0.30,1,1,1,4,1,1,1,28,1442,3.16,3,1,30,4,0,2021,5,5,5,5,5,5,4.75,2,0.1
1,1.00,1.00,2,1,1,2,2,1,1,32,2136,3.33,1,1,30,2,2,2023,5,5,4.5,5,5,4.5,5,2,0.26
1,1.00,0.99,2,1,1,3,1,1,2,28,2399,3.38,1,1,30,14,9,2023,4.29,4,4.21,4.36,4.5,4.64,4,2,0.29
1,1.00,0.30,1,1,1,2,1,1,1,31,2285,3.36,1,1,30,11,4,2022,5,5,5,5,5,5,5,2,0.29
1,1.00,0.30,1,1,1,3,1,1,1,23,1042,3.02,1,1,30,7,0,2020,4.86,4.71,4.86,4.86,4.86,4.86,4.86,2,0.14
1,1.00,0.99,2,1,1,3,1,1,2,25,1664,3.22,1,1,30,24,15,2023,4.7,4.65,4.39,4.78,4.78,4.83,4.7,1,0.52
1,1.00,0.99,2,1,1,2,1,1,1,26,1880,3.27,1,1,30,20,12,2023,4.65,4.7,4.35,4.85,4.8,5,4.65,1,0.49
2,0.98,1.00,2,1,1,2,1,1,1,23,1186,3.07,3,1,30,2,2,2022,4.5,5,4.5,5,5,4.5,4.5,1,0.25
2,0.98,1.00,2,1,1,2,1,1,1,23,1186,3.07,3,1,30,5,3,2023,4.75,5,5,4.25,4.75,4,4.5,1,0.11
1,0.75,1.00,2,2,3,1,1,1,1,15,340,2.53,1,1,30,3,1,2023,5,5,5,5,5,4.67,5,1,0.07
1,1.00,1.00,2,1,4,2,1,1,1,30,2600,3.41,1,1,30,1,1,2023,1,1,1,1,1,1,1,1,0.39
1,1.00,0.99,2,1,1,4,2,1,2,25,2253,3.35,1,1,30,11,9,2023,4.45,4.55,4.36,4.55,4.82,4.64,4,2,0.25
1,1.00,0.46,1,1,1,4,1,1,1,18,870,2.94,1,1,30,2,0,2021,5,5,5,5,5,5,5,2,0.05
1,1.00,0.30,1,1,1,4,1,1,1,30,1442,3.16,1,1,30,10,7,2023,5,5,5,5,5,5,5,2,0.25
1,1.00,0.46,1,1,1,3,1,1,1,26,1513,3.18,1,1,30,5,2,2022,5,5,4.8,4.8,5,5,4.8,2,0.13
1,1.00,0.00,2,1,1,4,1,1,1,21,1028,3.01,1,1,30,3,0,2020,5,5,5,5,5,5,5,2,0.07
1,1.00,0.30,1,1,1,4,1,1,1,22,1642,3.22,1,1,30,16,6,2022,4.94,5,4.94,5,5,4.88,4.69,2,0.4
1,0.95,0.39,1,1,1,3,1,1,1,15,2299,3.36,2,1,30,1,0,2020,5,5,5,5,5,5,5,2,0.03
1,1.00,0.92,2,2,1,4,1,2,2,14,2500,3.40,1,1,30,1,1,2023,5,5,5,5,5,5,5,1,0.52
1,1.00,0.66,1,1,1,3,1,1,1,16,2299,3.36,3,1,30,13,8,2023,4.92,4.92,4.92,5,5,4.92,4.85,2,0.33
4,0.33,1.00,2,1,1,2,1,1,1,30,99999,5.00,1,1,30,8,0,2020,4.38,4.75,4.13,4.25,4.5,4.38,4.63,2,0.15
1,1.00,0.92,2,2,1,2,1,1,1,15,1100,3.04,1,1,30,7,5,2023,4.71,4.71,5,4.57,4.71,4.86,4.57,2,0.18
2,0.83,1.00,2,1,1,7,4,3,3,17,2243,3.35,2,1,30,9,0,2021,4.22,4.11,4.22,4.56,4.44,4,4.44,1,0.23
3,1.00,1.00,2,1,4,2,1,1,4,14,1500,3.18,1,1,30,1,1,2023,4,4,3,5,5,5,4,1,0.45
1,0.98,0.71,2,1,1,3,1,1,1,12,2299,3.36,2,1,30,9,7,2023,4.89,4.89,4.89,4.89,5,5,4.78,2,0.7
1,1.00,0.91,1,1,1,2,1,1,1,33,1543,3.19,3,1,30,23,10,2023,4.52,4.52,4.61,4.65,4.65,4.91,4.48,2,0.59
4,0.33,1.00,2,1,1,2,1,1,1,27,99999,5.00,1,1,30,3,0,2020,5,5,5,5,5,5,5,1,0.06
1,1.00,0.98,1,1,1,3,1,1,2,62,2262,3.35,1,1,30,14,13,2023,4.86,4.86,4.5,4.86,4.93,4.86,4.64,2,0.37
1,1.00,1.00,2,1,1,1,1,1,1,7,3600,3.56,1,1,30,2,1,2023,3,3,3,3,3,3,3,1,0.05
2,1.00,1.00,2,1,4,4,2,2,3,28,4000,3.60,1,1,30,1,1,2022,5,5,5,5,5,5,5,2,0.34
1,0.90,0.96,2,1,1,4,1,1,2,25,880,2.94,1,1,30,14,12,2023,4.57,4.64,4.57,4.79,4.71,4.14,4.57,1,0.45
1,0.98,0.71,2,1,1,2,1,2,1,15,921,2.96,1,1,30,4,2,2022,5,5,5,5,5,5,4.75,2,0.13
1,0.98,0.71,2,1,1,3,1,1,1,22,1099,3.04,2,1,30,9,8,2023,4.22,4.33,4.44,4.67,4.78,4.78,4.67,2,0.72
4,0.00,0.00,2,1,1,2,1,1,1,24,36950,4.57,1,1,30,8,0,2020,4.63,4.88,4.75,4.63,4.75,4.63,4.75,2,0.19
2,0.90,0.99,1,1,1,16,6,4,4,24,24257,4.38,1,1,30,5,5,2023,5,5,5,5,4.8,4.6,4.2,1,0.61
1,1.00,1.00,1,1,1,5,3,2,2,64,4402,3.64,2,1,30,4,4,2023,4.75,4.75,4.75,5,5,4.75,4.25,1,1.18
1,1.00,1.00,2,2,4,3,2,1,1,15,1000,3.00,1,1,30,4,4,2023,3,3,3,3.25,3.5,4.5,3,1,0.99
1,0.98,0.71,2,1,1,3,1,1,1,23,1099,3.04,2,1,30,4,4,2023,5,5,5,5,5,5,5,2,0.56
1,1.00,1.00,1,1,4,2,1,1,2,33,1000,3.00,1,1,30,4,4,2023,5,5,4.75,5,4.5,4.75,5,1,0.5
1,1.00,1.00,2,1,1,4,2,2,2,11,2950,3.47,25,1,30,1,1,2022,5,5,3,5,5,5,5,2,0.2
1,1.00,0.91,1,1,1,4,1,2,4,34,3500,3.54,28,1,30,2,2,2022,5,5,5,5,5,5,5,2,0.29
1,1.00,1.00,1,1,4,3,1,1,3,20,1371,3.14,1,1,30,5,5,2023,4.6,4.8,4.6,4.4,4.4,4.2,4.4,1,0.73
1,1.00,0.91,1,1,1,4,1,2,2,25,3300,3.52,23,1,30,3,3,2022,5,4.67,5,5,5,5,5,2,0.58
1,1.00,0.46,1,1,1,4,1,1,1,31,1442,3.16,1,1,30,3,3,2022,5,5,5,5,5,5,5,2,0.46
1,1.00,1.00,1,1,4,2,2,1,2,20,899,2.95,1,1,30,2,2,2023,4.5,5,4.5,5,5,5,4,1,0.49
1,1.00,0.91,1,1,1,5,2,2,2,41,3333,3.52,45,1,30,4,4,2023,4.75,4.75,4.75,5,5,4.75,4.5,2,1.08
1,0.96,0.98,2,1,1,2,1,1,1,7,970,2.99,14,1,30,1,1,2022,5,5,5,5,5,5,5,1,0.2
1,1.00,1.00,1,1,1,2,1,1,1,38,3588,3.55,20,1,30,4,4,2023,5,5,5,5,5,5,4.75,1,1.22
1,1.00,1.00,1,1,1,2,1,1,1,38,3588,3.55,20,1,30,6,6,2023,4.83,5,5,5,5,4.83,4.83,1,1.51
2,1.00,1.00,1,1,1,3,2,2,3,37,2550,3.41,24,1,30,2,2,2022,4,3.5,4,4,4.5,3.5,3.5,1,0.46
1,1.00,0.46,1,1,1,4,1,1,1,31,1442,3.16,2,1,30,1,1,2022,4,4,3,5,5,5,4,2,0.23
3,0.83,0.86,2,1,4,4,1,1,1,28,3707,3.57,2,1,30,1,1,2023,5,5,5,5,5,5,5,1,0.4
3,0.83,0.86,2,1,4,2,1,1,1,19,2319,3.37,2,1,30,2,2,2023,5,5,5,5,5,5,5,1,0.78
1,0.98,0.97,2,1,4,2,1,1,1,29,2319,3.37,2,1,30,2,2,2023,5,5,4,5,5,5,5,1,0.8
1,1.00,0.76,2,1,1,8,3,4,4,24,13000,4.11,2,1,13,38,3,2023,4.42,4.47,4.61,4.72,4.72,4.29,4.31,2,0.54
1,1.00,0.98,1,1,1,2,1,1,1,59,1542,3.19,28,1,30,2,2,2023,5,5,5,4.5,5,4,5,2,0.97
1,1.00,1.00,2,2,4,2,1,1,1,13,1000,3.00,1,1,30,1,1,2023,1,1,1,1,1,1,1,1,1
1,1.00,0.98,1,1,1,2,1,1,1,41,120,2.08,21,1,30,3,3,2023,5,5,5,5,5,5,5,2,3
4,0.00,1.00,2,2,4,4,2,2,3,19,8239,3.92,1,1,25,1,1,2022,5,5,5,5,5,5,5,1,0.09
4,0.00,0.00,2,1,4,6,3,3,3,15,7200,3.86,1,1,29,1,0,2020,4,5,4,5,5,4,4,2,0.03
2,1.00,0.80,2,1,4,2,1,1,1,23,1729,3.24,1,1,30,4,2,2022,3,4,3.67,3.33,3.33,4,3,1,0.1
1,1.00,0.95,1,1,4,5,2,3,4,34,990,3.00,1,1,30,12,12,2023,4.5,4.42,4.58,4.92,4.67,4.33,4.5,2,2.07
3,0.80,0.33,2,1,4,1,2,1,1,49,790,2.90,1,1,30,1,1,2023,4,3,3,5,4,5,3,2,0.94
1,1.00,1.00,1,2,4,1,1,1,1,13,550,2.74,1,1,30,1,1,2023,4,4,5,5,5,3,4,2,0.68
1,1.00,1.00,2,1,1,2,1,1,1,22,936,2.97,30,1,30,17,3,2023,4.41,4.35,4.18,4.35,4.47,3.88,4.24,2,0.35
2,0.98,1.00,2,1,1,2,2,1,1,23,1136,3.06,3,1,30,8,6,2023,5,5,4.63,5,5,4.63,5,1,0.17
2,0.98,1.00,2,1,1,2,1,1,1,23,1136,3.06,3,1,30,6,4,2022,4.5,4.5,4.5,4.67,3.83,4.17,4.5,1,0.39
2,0.98,1.00,2,1,1,2,2,1,1,23,1136,3.06,3,1,30,5,0,2022,3.75,3.75,4.5,4,4,4,4.25,1,0.11
2,0.98,1.00,2,1,1,2,1,1,1,26,837,2.92,30,1,30,1,1,2023,5,5,5,5,4,5,5,1,0.67
2,0.98,1.00,2,1,1,2,1,1,1,26,820,2.91,30,1,30,3,0,2021,3.5,5,4.5,2.5,4,4,4,1,0.07
1,1.00,1.00,2,1,4,2,1,1,1,13,936,2.97,1,1,30,5,3,2023,4.8,5,4.8,5,5,4.8,4.8,1,0.13
1,0.97,0.96,2,1,1,2,1,1,2,28,2380,3.38,2,1,30,1,1,2022,5,4,5,4,5,5,5,2,0.22
1,0.97,0.96,2,1,1,1,1,1,1,20,2380,3.38,2,1,30,1,1,2023,4,3,3,2,3,4,3,2,0.79
1,1.00,1.00,2,2,4,3,2,1,1,12,1000,3.00,1,1,30,2,2,2023,2.5,3.5,1.5,3,3,3,3,1,2
1,1.00,1.00,2,1,1,2,1,1,1,27,994,3.00,29,1,30,3,1,2023,5,4.5,5,5,5,5,4.5,1,0.03
1,1.00,1.00,2,1,1,5,2,3,3,41,1423,3.15,1,1,30,2,2,2023,5,5,5,5,5,5,5,2,0.53
1,1.00,1.00,2,1,4,2,1,1,1,14,795,2.90,3,1,30,6,1,2023,5,4.67,5,5,5,5,4.83,2,0.1
1,1.00,0.95,2,1,1,4,1,1,1,44,2000,3.30,2,1,30,19,11,2023,4.53,4.32,4.58,4.42,4.58,4.63,4.32,2,0.4
1,1.00,0.96,1,1,1,5,2,2,4,10,2299,3.36,3,1,30,2,2,2023,4.5,5,5,5,5,4,5,1,0.71
1,1.00,1.00,1,1,1,4,3,2,3,48,2490,3.40,3,1,30,6,6,2023,4.67,4.83,4.5,4.5,5,4.67,4.5,2,1.88
1,1.00,1.00,2,1,1,6,2,2,5,33,1879,3.27,1,1,30,38,4,2023,4.5,4.61,4.32,4.92,4.82,4.84,4.74,1,0.86
1,1.00,0.99,2,1,1,3,1,1,2,33,2800,3.45,28,1,30,6,2,2022,4.5,4.5,4.67,4.67,4.67,5,4.83,1,0.38
1,0.99,0.90,2,1,4,2,1,1,1,50,1070,3.03,1,1,30,4,4,2023,5,4.75,5,4.5,4.5,4.75,5,1,4
3,0.70,0.57,2,1,1,4,2,2,3,12,1855,3.27,2,1,30,5,2,2023,5,5,5,5,5,4.8,5,2,0.05
2,1.00,0.33,2,1,4,3,1,1,1,19,1490,3.17,90,1,30,5,0,2020,5,5,4.5,5,5,4.4,4.4,2,0.05
1,1.00,1.00,2,2,2,1,6,1,16,10,340,2.53,1,1,30,1,1,2023,1,1,1,1,1,1,1,1,0.34
1,1.00,0.00,2,2,1,2,1,1,1,9,680,2.83,1,1,30,10,0,2020,4.11,4.22,4,4.22,4,3.78,4.11,2,0.12
1,1.00,0.50,2,2,1,2,1,1,1,20,900,2.95,1,1,30,4,0,2020,4,3.75,3.75,5,4.5,4,4,2,0.05
2,1.00,0.74,1,1,1,2,1,1,1,25,468,2.67,4,1,30,8,5,2023,4.63,4.75,4.75,4.88,5,4.63,4,2,0.12
1,1.00,1.00,1,1,1,4,2,2,2,20,2664,3.43,14,1,30,6,6,2023,5,5,5,5,5,4.67,4.83,2,0.68
1,1.00,1.00,2,2,2,1,3,1,1,25,380,2.58,1,1,30,56,10,2023,4.61,4.7,4.46,4.66,4.54,4.79,4.77,1,0.81
3,0.75,0.78,2,1,4,4,1,1,3,20,2310,3.36,1,1,30,7,0,2020,4.86,4.86,4.86,5,4.86,4.71,5,1,0.12
1,1.00,1.00,2,1,2,4,2,1,4,14,440,2.64,1,1,30,4,1,2023,5,4.75,5,5,5,4.75,5,1,0.07
1,1.00,1.00,2,2,2,2,3,1,1,21,600,2.78,1,1,30,4,2,2023,4.25,4.5,4,4.25,3.5,4.5,4.5,1,0.06
1,1.00,1.00,1,1,1,2,2,1,1,39,1614,3.21,30,1,30,22,4,2023,4.82,4.91,4.91,4.73,4.95,4.77,4.73,1,0.36
